amount,hour,txn_velocity_1h,acct_age_days,amount_to_avg_ratio,cross_border,is_fraud
22.92,18,1,2255,1.54,0,0
76.74,10,0,1444,1.161,0,0
100.72,15,1,561,1.182,0,0
29.81,12,1,2524,1.352,0,0
294.61,11,0,3476,1.406,0,0
67.25,10,2,2302,0.938,0,0
130.23,6,0,1705,0.897,0,0
47.5,12,0,1363,1.169,0,0
73.15,20,2,201,1.394,0,0
50.21,6,2,480,0.936,1,0
33.83,15,2,1063,1.422,0,0
190.54,7,1,1826,0.726,0,0
126.8,10,1,204,1.078,0,0
30.1,11,3,2714,1.379,0,0
78.77,12,2,2755,0.8,0,0
24.36,13,1,714,0.812,0,0
11.29,12,2,1695,1.428,0,0
124.06,17,1,141,0.869,0,0
204.99,9,1,2212,1.353,0,0
95.16,15,3,2152,0.799,0,0
59.37,18,0,3128,0.27,0,0
392.67,9,2,3425,0.86,0,0
244.13,20,0,1526,0.991,0,0
29.18,11,3,3195,0.813,0,0
46.28,11,2,2082,0.799,0,0
55.59,17,2,1009,0.988,0,0
36.74,11,0,2215,1.218,0,0
93.47,8,1,957,0.856,0,0
16.02,11,1,792,0.937,0,0
41.22,10,0,2050,1.163,0,0
318.75,14,0,2409,1.123,0,0
49.06,17,1,1036,0.853,0,0
122.17,16,2,2027,0.942,1,0
119.77,10,2,2706,0.867,0,0
26.1,7,0,2133,1.678,0,0
205.23,21,0,2765,1.087,0,0
21.6,10,1,2996,0.536,0,0
126.64,20,2,2983,0.778,0,0
19.53,11,0,3228,1.791,0,0
315.65,11,2,2442,0.782,0,0
329.0,6,0,3733,1.113,0,0
366.23,10,1,607,0.837,0,0
95.9,8,4,679,1.248,0,0
206.64,12,1,1555,0.949,0,0
42.44,6,1,540,0.783,0,0
61.26,20,1,3390,1.101,0,0
74.45,6,1,3099,1.267,1,0
28.07,21,4,3290,0.333,0,0
52.76,10,2,418,1.268,0,0
16.38,11,0,2020,1.56,0,0
87.98,7,0,1961,0.909,0,0
44.9,7,4,3053,1.113,1,0
51.87,16,2,1067,1.2,0,0
117.4,10,1,2180,0.818,0,0
66.91,21,3,1299,1.362,0,0
71.5,9,0,3324,1.282,0,0
33.6,19,3,149,0.689,0,0
154.5,16,0,805,0.86,1,0
74.72,22,1,386,0.633,0,0
96.87,8,2,3321,1.149,0,0
65.25,10,1,609,1.423,0,0
31.28,22,1,1374,0.874,0,0
47.29,19,3,1843,0.723,0,0
62.08,7,0,3678,0.885,0,0
158.73,15,0,1334,0.692,0,0
110.71,16,0,2769,1.417,0,0
20.9,15,1,1759,0.895,0,0
16.78,9,0,401,1.048,0,0
73.87,8,1,1850,1.192,0,0
104.91,8,1,1276,0.954,0,0
67.77,19,0,2575,1.202,0,0
280.69,13,1,2571,1.036,0,0
30.82,22,1,3113,1.736,0,0
78.19,11,5,3674,1.147,0,0
306.23,18,0,2831,1.468,0,0
134.0,12,2,1387,1.109,0,0
72.22,13,4,1045,1.111,0,0
111.55,13,1,522,0.47,0,0
20.54,11,3,317,0.801,0,0
30.28,13,0,1594,0.891,0,0
193.64,22,1,2253,0.991,0,0
134.05,13,0,3905,0.79,0,0
95.56,10,2,1882,0.759,0,0
145.88,10,2,3148,1.144,0,0
14.17,22,3,1118,0.978,0,0
950.26,1,3,283,4.625,0,1
82.67,19,0,1865,1.124,0,0
100.09,15,1,1386,1.013,0,0
147.87,18,0,2142,1.13,0,0
83.65,8,1,1567,1.117,0,0
83.77,13,1,2977,0.645,0,0
75.38,17,3,2921,0.633,0,0
334.62,12,3,2617,1.194,0,0
152.39,21,1,1282,0.891,0,0
143.83,14,6,3678,1.01,0,0
83.89,14,0,313,1.03,0,0
11.11,22,2,3558,1.118,0,0
235.42,7,0,2868,0.457,0,0
22.02,18,2,3695,1.011,0,0
183.56,20,1,721,0.79,0,0
36.88,21,0,2217,1.01,0,0
386.41,7,0,2916,0.727,0,0
69.22,17,2,1426,0.843,0,0
88.31,20,1,2037,0.795,0,0
87.1,11,2,2571,1.185,0,0
80.49,9,1,1556,1.231,0,0
37.67,17,1,569,0.574,0,0
31.02,10,2,870,0.842,1,0
55.63,15,1,786,1.241,1,0
33.1,10,1,3156,1.13,0,0
54.75,2,8,144,3.038,1,1
351.81,7,0,1443,1.253,0,0
66.44,10,3,629,0.68,0,0
91.96,22,0,2961,1.103,0,0
68.26,20,2,950,0.769,0,0
90.35,15,0,623,0.607,0,0
314.66,6,2,2836,1.37,0,0
166.65,15,2,409,0.541,1,0
29.97,9,4,1923,1.0,0,0
134.7,11,2,2680,0.391,0,0
79.54,19,2,872,1.123,0,0
29.13,7,0,3248,0.857,0,0
263.61,16,1,1149,0.659,0,0
52.48,7,1,3608,0.714,0,0
23.66,8,2,1542,1.622,0,0
62.04,19,1,1956,0.867,0,0
296.01,20,2,1760,0.732,0,0
1054.44,15,2,1648,1.781,0,0
175.3,20,1,3915,0.762,0,0
205.07,12,0,1779,0.917,0,0
78.4,21,2,3456,0.911,0,0
572.12,16,1,3153,1.138,0,0
741.42,0,6,5,4.275,0,1
71.34,8,0,3327,0.108,0,0
11.76,18,3,1682,1.237,0,0
194.18,21,1,3390,1.124,0,0
104.84,21,0,3026,0.574,0,0
63.02,6,1,3855,1.135,0,0
54.16,8,1,2173,0.697,0,0
58.71,17,0,197,0.915,1,0
24.0,16,0,656,0.856,0,0
305.38,15,4,3441,0.969,0,0
77.11,21,1,2052,1.468,0,0
44.49,16,0,1737,0.677,0,0
394.62,11,0,925,0.76,0,0
80.68,14,1,2901,1.217,0,0
227.09,11,1,545,1.078,0,0
144.5,7,1,2710,1.536,0,0
90.42,14,0,3143,0.823,1,0
63.84,22,2,2987,1.302,1,0
164.05,22,0,2625,0.853,0,0
40.71,7,1,2591,0.85,0,0
115.51,13,5,2678,1.408,0,0
142.41,16,1,3615,0.733,0,0
112.6,6,0,944,0.928,0,0
101.12,6,2,1051,1.031,1,0
172.76,16,1,601,0.846,0,0
36.45,7,2,2928,1.009,0,0
48.38,15,0,3701,0.773,0,0
585.7,14,0,2330,0.888,1,0
55.83,9,1,2452,0.58,0,0
146.22,18,3,1779,1.704,0,0
261.43,14,1,3748,1.183,0,0
24.36,6,1,808,0.84,0,0
117.63,19,4,2182,1.194,0,0
50.14,17,3,3475,0.849,0,0
77.95,9,5,3941,0.958,0,0
89.16,7,0,2906,1.142,0,0
235.63,20,2,2731,1.104,0,0
54.89,20,2,3325,0.833,0,0
41.48,21,3,3287,1.133,0,0
72.21,7,2,495,1.194,0,0
67.42,9,2,3147,0.87,0,0
40.47,16,3,2750,0.611,0,0
57.23,20,0,1352,1.12,0,0
87.05,22,0,1260,0.94,0,0
62.58,11,1,1419,0.957,0,0
49.45,16,3,3618,0.227,0,0
71.76,15,3,639,0.994,0,0
70.29,14,1,3819,0.919,0,0
77.06,11,2,621,1.14,0,0
47.49,22,1,3847,0.302,0,0
28.03,22,1,259,1.067,0,0
53.04,16,1,3498,0.334,0,0
85.41,10,1,1488,0.989,0,0
406.62,19,1,3363,1.094,0,0
41.02,9,0,1651,0.802,0,0
27.54,11,0,3779,0.85,0,0
239.25,12,2,707,0.894,1,0
245.57,6,1,775,0.475,0,0
107.67,11,4,1345,1.104,0,0
199.57,18,3,1548,1.001,0,0
39.12,13,1,2813,1.177,0,0
61.36,9,1,3877,0.863,0,0
25.04,14,1,2315,1.099,0,0
80.17,13,3,545,0.998,0,0
33.74,12,2,2352,1.436,0,0
33.92,14,1,3553,1.124,0,0
217.45,14,4,882,1.199,0,0
49.89,7,0,967,0.961,0,0
46.16,19,3,3530,0.522,0,0
21.67,13,1,2878,0.939,0,0
335.58,19,1,435,1.246,0,0
139.66,7,0,961,0.987,0,0
19.18,17,0,1424,0.189,0,0
743.9,18,0,3550,0.725,0,0
224.53,10,0,181,0.803,0,0
40.43,17,2,3016,1.002,0,0
39.0,21,2,3480,1.077,0,0
49.22,20,0,1123,1.165,0,0
330.44,17,0,2706,1.375,1,0
61.67,18,0,910,0.301,0,0
44.93,13,0,591,0.942,0,0
70.75,13,2,3026,0.864,0,0
240.59,22,2,3674,0.85,0,0
216.14,9,1,2471,0.995,0,0
41.26,11,0,2377,1.468,1,0
114.18,11,1,1055,1.392,0,0
100.38,20,2,1256,1.152,0,0
52.89,8,0,3993,1.01,0,0
22.24,22,1,2993,1.786,0,0
281.2,16,1,2760,1.289,0,0
52.82,9,3,1922,1.092,0,0
124.39,10,5,1872,1.017,0,0
54.77,8,0,3782,0.645,0,0
94.4,8,2,2013,1.354,0,0
78.53,12,1,2609,1.161,0,0
49.5,13,1,882,1.393,0,0
143.36,14,1,2991,1.171,0,0
41.75,16,3,1208,1.073,0,0
49.62,16,3,1264,0.938,0,0
39.36,21,2,2123,0.988,0,0
101.08,17,0,3169,0.905,0,0
45.64,21,2,1636,1.061,0,0
47.7,21,4,1376,1.385,1,0
39.78,9,2,285,0.741,0,0
48.46,16,0,2781,1.109,0,0
109.35,15,4,1087,1.316,0,0
83.38,17,2,2940,1.118,0,0
76.78,14,1,3020,1.592,0,0
148.24,14,1,2553,1.035,1,0
60.75,13,3,3261,1.071,0,0
44.19,12,2,3063,0.952,0,0
63.72,9,3,2791,1.123,0,0
45.2,17,1,1153,1.199,0,0
76.43,11,4,858,0.767,0,0
66.73,7,1,2910,0.582,0,0
93.67,16,0,837,0.942,0,0
132.76,22,0,2049,1.324,0,0
74.37,13,1,2107,1.007,0,0
40.06,7,0,1572,1.153,0,0
82.21,19,2,2566,1.22,0,0
105.04,21,1,3778,0.765,0,0
252.26,17,1,3132,0.559,0,0
114.22,7,0,2035,1.46,0,0
50.52,8,1,2875,1.463,0,0
74.84,11,1,2797,0.755,0,0
222.75,12,1,1469,0.79,0,0
60.66,8,0,1120,0.293,0,0
133.5,20,0,1875,1.263,0,0
32.47,21,2,1856,0.331,0,0
43.79,22,2,2555,0.645,0,0
124.98,7,0,881,1.077,0,0
73.38,21,2,2800,0.978,0,0
30.04,13,3,3611,0.532,0,0
288.08,21,1,3768,1.081,0,0
124.3,10,1,2760,1.049,0,0
167.48,10,0,1014,1.279,0,0
12.11,19,2,124,0.925,0,0
158.39,22,3,1456,1.368,0,0
130.94,13,1,1118,0.888,0,0
100.79,13,1,2221,0.731,0,0
62.79,9,4,3675,0.632,0,0
82.64,15,1,437,1.449,0,0
83.45,7,1,3495,0.959,1,0
85.62,12,1,3461,1.308,0,0
38.04,15,1,1338,0.483,0,0
180.39,11,1,3847,1.208,0,0
49.06,17,0,3748,1.386,0,0
63.13,18,1,2847,1.502,0,0
128.53,7,0,3955,0.549,0,0
275.46,8,0,668,1.113,0,0
60.86,12,1,2423,0.746,0,0
92.66,17,1,3146,0.841,0,0
18.46,18,0,2986,0.786,0,0
28.6,11,1,1572,0.669,0,0
81.32,22,1,1085,0.81,0,0
172.09,11,2,686,1.193,0,0
162.26,12,1,144,1.342,0,0
327.63,12,2,1637,0.772,1,0
192.3,10,1,3933,0.972,0,0
2778.37,23,5,164,6.431,0,1
27.36,8,1,939,0.592,1,0
41.12,15,0,1563,1.732,0,0
21.94,16,0,1966,1.016,0,0
42.33,13,0,1372,0.929,0,0
74.11,16,2,3781,1.655,0,0
1167.49,23,6,181,3.365,0,1
44.82,22,1,1765,1.082,0,0
60.29,11,3,1088,0.656,0,0
59.85,7,2,1598,0.845,0,0
59.95,6,0,820,0.799,0,0
44.88,16,1,3954,0.348,0,0
86.76,10,1,256,1.217,0,0
25.75,20,1,1210,0.362,0,0
30.41,8,0,2015,1.395,0,0
483.25,21,1,1657,1.271,0,0
9.51,21,1,1173,0.719,0,0
28.44,21,0,1090,1.136,0,0
126.07,6,2,405,1.29,0,0
26.39,9,2,862,0.894,0,0
58.59,7,1,1472,0.84,0,0
133.1,14,2,1349,0.761,0,0
92.47,11,0,1361,1.189,0,0
83.2,10,1,486,1.241,0,0
265.13,10,1,3030,0.592,0,0
46.49,18,3,2648,0.945,0,0
108.27,22,1,3317,0.373,1,0
273.07,6,1,3236,0.898,0,0
144.78,8,0,148,1.641,0,0
189.59,16,1,1214,0.843,0,0
358.31,13,2,2499,1.224,0,0
37.61,7,2,3906,1.427,0,0
23.44,17,2,2008,0.493,0,0
307.73,20,0,1944,0.727,1,0
42.41,11,0,1002,0.713,0,0
44.46,6,1,3114,0.606,0,0
40.58,22,3,1017,1.38,0,0
38.52,11,1,2672,1.121,0,0
222.19,22,2,1834,0.426,0,0
65.9,22,2,186,1.532,0,0
165.95,6,2,1359,0.827,0,0
133.5,18,1,3459,1.555,0,0
124.21,19,2,3033,0.817,0,0
84.28,13,2,1500,0.991,0,0
5.74,18,4,604,0.907,0,0
66.84,14,1,3432,1.384,0,0
176.5,9,2,1333,1.389,0,0
111.81,19,0,2523,1.027,0,0
29.66,7,0,3691,1.084,0,0
215.83,21,1,2195,1.728,0,0
103.43,11,1,3336,0.675,0,0
98.09,14,4,3216,0.946,0,0
37.75,22,0,1795,0.699,0,0
29.03,22,1,3078,1.199,0,0
201.96,7,1,1280,1.118,0,0
237.19,9,5,224,0.767,0,0
193.28,6,2,239,0.773,0,0
39.74,20,1,1136,1.167,0,0
25.61,7,2,1070,1.057,0,0
108.53,21,1,3563,0.585,0,0
104.89,9,2,136,1.373,0,0
180.02,17,1,1929,0.551,0,0
78.59,16,1,2894,0.55,0,0
81.98,17,3,805,0.956,1,0
112.86,23,3,220,5.823,1,1
424.66,12,0,281,1.394,0,0
163.87,18,1,1542,1.446,0,0
74.54,13,2,3738,1.052,0,0
33.56,8,2,1437,1.086,0,0
45.91,20,2,2940,0.564,0,0
142.93,13,4,1933,1.795,0,0
70.17,15,0,443,1.117,0,0
165.49,11,1,2917,1.96,0,0
39.04,19,0,1068,1.064,0,0
182.26,20,5,3030,0.946,0,0
19.75,18,2,689,1.223,0,0
80.32,8,2,3050,0.985,1,0
36.62,6,2,2797,0.829,0,0
1009.6,20,1,419,1.397,0,0
44.58,10,2,1319,1.321,0,0
65.7,16,2,2890,1.363,0,0
38.79,13,1,1849,1.207,0,0
64.55,14,1,1756,0.861,0,0
29.23,16,1,1990,0.656,1,0
38.58,14,3,947,0.125,0,0
237.44,19,1,2143,1.038,0,0
87.96,6,2,3511,1.08,0,0
40.96,8,0,2173,0.86,0,0
13.68,22,2,2905,1.395,0,0
59.65,17,3,1195,0.896,0,0
96.64,7,1,3215,1.087,0,0
105.23,17,1,1530,0.369,0,0
244.58,17,1,2657,0.9,0,0
61.5,9,1,562,0.628,0,0
5.17,14,1,186,0.701,0,0
55.15,21,1,3114,1.577,0,0
212.27,21,4,1404,0.929,0,0
203.43,16,0,3073,0.88,0,0
47.37,9,2,332,0.937,0,0
130.37,9,2,3218,1.232,0,0
43.55,17,0,1580,0.685,0,0
155.76,6,3,2750,1.052,0,0
56.18,7,4,2310,0.942,0,0
171.6,19,4,770,1.535,0,0
48.81,10,1,828,0.21,0,0
163.31,8,1,2506,0.782,0,0
109.88,17,1,2442,0.414,0,0
59.84,16,0,2842,0.843,0,0
145.84,7,0,3111,0.764,0,0
177.54,8,0,304,0.932,0,0
158.44,19,5,1640,1.402,0,0
176.16,17,2,813,1.189,0,0
46.13,10,2,2535,0.989,0,0
81.23,14,1,2011,1.195,0,0
85.09,12,3,3643,1.024,1,0
43.7,18,0,3641,0.663,0,0
52.36,7,4,3570,0.676,0,0
69.56,8,1,3389,1.133,0,0
110.57,8,4,2776,0.639,0,0
21.82,14,1,1381,1.005,0,0
58.88,18,3,3536,0.92,0,0
41.36,16,1,2340,0.841,0,0
186.9,10,0,2140,0.742,0,0
54.97,11,1,3400,1.731,0,0
92.67,7,0,610,0.431,0,0
565.5,7,2,1184,0.689,0,0
111.26,6,0,3368,0.652,0,0
115.66,19,0,652,1.151,0,0
74.04,10,3,2894,1.214,1,0
188.11,9,0,1916,0.873,0,0
76.81,19,1,1999,0.804,1,0
16.69,10,0,2104,1.434,0,0
131.0,10,0,3752,0.757,0,0
33.84,19,1,347,0.773,0,0
30.82,22,3,829,1.065,0,0
69.66,12,1,3820,1.443,0,0
25.19,11,1,396,1.537,0,0
98.87,18,1,1183,1.0,0,0
251.36,21,3,1483,0.689,0,0
79.43,14,1,1436,1.012,0,0
270.35,22,3,2000,0.528,0,0
49.3,16,2,3582,1.142,0,0
71.48,22,0,2504,0.786,0,0
161.81,13,1,2546,0.8,0,0
27.86,12,2,3628,0.145,0,0
71.01,7,4,1498,0.764,0,0
30.16,21,1,2987,1.658,0,0
45.35,12,1,3627,1.535,0,0
88.71,8,2,2371,1.103,0,0
51.55,17,3,719,0.76,0,0
75.02,18,2,948,1.089,0,0
436.53,11,2,2719,0.871,0,0
133.05,18,1,1813,0.403,0,0
173.35,16,3,3276,0.703,0,0
190.29,16,3,831,1.116,0,0
247.98,7,3,2218,1.098,0,0
298.09,6,1,1088,0.889,0,0
115.96,11,1,1950,1.364,1,0
278.64,17,1,2673,1.216,0,0
117.44,20,1,273,0.946,0,0
41.56,16,3,1381,0.809,0,0
253.41,16,3,3711,0.972,0,0
136.92,7,3,1271,1.036,0,0
39.06,22,2,1456,0.903,0,0
143.14,22,2,1449,0.269,0,0
101.22,12,1,1890,0.468,0,0
130.41,18,1,585,0.629,0,0
116.3,13,0,2593,0.992,0,0
91.62,7,0,3374,1.671,0,0
195.74,8,3,3408,0.565,0,0
254.41,20,1,127,1.395,0,0
83.94,18,1,3632,0.981,1,0
405.34,18,2,710,1.263,0,0
335.14,8,1,2934,1.037,0,0
91.28,16,0,3811,0.972,0,0
35.91,14,2,1850,1.588,0,0
42.46,6,3,3142,1.254,0,0
95.86,11,2,3056,0.396,0,0
484.48,12,0,3390,0.73,0,0
329.96,16,3,3498,1.032,0,0
46.03,10,1,3440,1.045,0,0
138.84,17,3,2196,1.126,0,0
153.8,11,0,1569,0.79,1,0
42.84,19,2,1992,1.541,1,0
73.82,9,4,982,1.132,0,0
17.3,11,3,3269,1.687,0,0
73.78,9,3,2971,1.532,0,0
101.74,17,0,2026,1.055,0,0
115.16,15,1,893,1.123,0,0
26.6,17,1,3085,1.161,1,0
342.23,12,1,733,0.806,0,0
62.03,7,1,3561,1.405,0,0
41.18,7,1,2885,1.097,0,0
308.71,13,1,890,0.956,0,0
44.73,20,2,2748,1.191,1,0
133.28,12,0,1269,1.335,0,0
74.82,20,0,1039,1.292,0,0
92.15,16,2,2136,0.995,0,0
10.7,14,3,161,0.539,0,0
412.73,14,1,1171,0.822,0,0
426.73,22,9,330,3.144,1,1
140.0,11,0,1875,1.469,0,0
901.98,14,3,3318,1.119,0,0
37.28,13,3,1221,0.589,0,0
87.2,9,1,2029,0.744,0,0
38.58,17,1,240,1.112,0,0
95.09,9,3,138,0.554,0,0
78.65,7,1,2664,1.08,1,0
97.47,22,1,3209,1.531,0,0
70.73,22,0,551,1.128,0,0
143.85,7,2,781,1.211,0,0
252.38,21,5,3225,0.922,0,0
156.62,17,0,2160,0.428,0,0
608.32,19,1,2695,1.526,0,0
61.23,17,1,1303,1.374,0,0
185.7,22,0,2404,0.503,0,0
146.04,20,3,1849,1.738,0,0
84.74,20,0,3604,1.228,0,0
107.71,13,1,2413,1.515,0,0
24.06,20,0,3480,1.072,0,0
219.44,13,1,2941,0.889,0,0
179.22,15,1,438,0.759,0,0
119.56,10,1,3048,1.121,0,0
282.67,6,3,3162,1.581,0,0
32.22,12,1,125,0.561,0,0
21.71,15,2,294,0.794,0,0
581.32,3,3,8,5.305,0,1
142.62,14,0,2964,1.28,0,0
40.97,20,0,873,1.269,0,0
110.25,19,0,1007,0.201,0,0
42.97,14,0,2321,1.276,0,0
350.2,2,4,116,2.513,1,1
82.42,7,1,3593,0.756,0,0
155.45,10,1,2425,1.218,0,0
73.56,16,0,2564,0.58,0,0
224.31,15,2,643,1.057,0,0
46.33,9,2,3063,0.92,0,0
98.82,7,1,1134,1.329,0,0
14.07,13,1,2391,1.016,0,0
111.99,16,1,978,0.835,0,0
122.36,15,0,3493,1.019,0,0
173.99,10,0,3874,1.061,0,0
93.54,16,3,2716,0.849,0,0
517.7,18,2,3430,0.933,0,0
240.64,10,2,3501,1.163,0,0
35.22,21,1,1605,1.963,1,0
173.6,18,1,1073,0.445,0,0
22.64,14,2,2920,0.474,0,0
126.15,8,1,936,0.713,0,0
25.9,15,0,3190,0.784,0,0
60.99,21,3,2933,1.011,0,0
52.2,6,2,2812,1.153,0,0
72.41,10,5,1982,0.909,0,0
36.77,14,4,1304,1.061,0,0
42.04,17,5,2910,0.979,0,0
246.05,15,1,1992,1.227,1,0
162.06,8,0,3056,1.007,0,0
61.74,14,1,2354,0.983,0,0
97.74,11,1,3018,1.361,0,0
165.86,20,3,1258,1.43,1,0
58.4,12,1,835,0.487,0,0
69.96,6,2,1568,0.935,0,0
114.75,9,4,3463,0.787,0,0
574.93,11,1,3662,1.122,0,0
20.34,15,1,2911,0.807,0,0
90.95,12,1,618,1.308,1,0
382.83,15,1,1561,1.065,0,0
92.99,21,2,2195,0.405,0,0
10.22,21,2,2351,1.074,0,0
27.45,19,2,120,0.671,0,0
191.33,6,3,1748,0.848,0,0
225.36,1,6,225,3.423,0,1
180.89,20,1,920,0.92,0,0
39.64,7,2,1943,1.267,0,0
38.29,22,2,1788,1.57,0,0
331.18,12,1,1469,0.882,0,0
63.11,6,2,540,1.151,0,0
165.59,19,0,1787,1.551,0,0
85.44,6,0,1532,0.921,0,0
37.79,9,0,3620,0.194,0,0
27.54,6,1,1323,0.704,0,0
986.53,3,6,322,4.103,1,1
334.48,11,0,1903,0.613,0,0
34.17,14,0,2730,0.556,1,0
168.05,17,1,3470,0.454,0,0
64.0,21,0,510,0.758,0,0
31.13,21,3,3442,1.467,0,0
120.64,7,2,2432,1.06,0,0
204.15,7,2,734,0.554,0,0
39.36,10,0,1400,0.588,0,0
13.12,7,2,704,1.432,0,0
36.48,12,0,2426,0.598,0,0
68.63,21,5,1932,0.244,0,0
22.94,12,3,2502,1.486,0,0
70.75,16,0,3885,0.464,0,0
23.55,14,2,2655,1.322,0,0
144.1,10,0,2995,1.257,1,0
73.15,18,1,2929,0.958,0,0
128.34,22,1,3914,0.269,1,0
94.01,22,0,456,1.627,0,0
47.82,7,2,3006,0.773,0,0
45.47,19,1,483,1.639,0,0
147.93,6,2,3607,1.127,1,0
59.69,12,0,382,0.879,0,0
30.36,13,1,1848,0.888,0,0
13.07,15,2,3908,1.545,0,0
34.22,12,2,2157,1.279,0,0
261.15,4,7,205,5.496,0,1
48.79,22,3,2671,1.044,0,0
62.05,12,2,2951,0.551,0,0
256.94,22,0,2601,0.916,1,0
138.15,8,3,1956,1.072,0,0
132.77,19,2,873,1.352,1,0
59.4,15,2,2381,1.294,0,0
27.76,21,2,1804,0.182,0,0
73.22,14,3,3888,0.909,0,0
109.09,22,2,2540,0.806,0,0
125.84,22,1,1805,0.417,0,0
215.26,18,1,2007,1.011,0,0
41.52,15,1,1269,1.35,0,0
108.66,19,3,2931,0.848,0,0
282.11,19,1,2415,1.037,0,0
194.35,7,2,2703,0.726,0,0
152.75,18,2,1050,1.302,1,0
85.99,20,1,3890,0.902,0,0
596.89,9,1,2495,0.929,0,0
44.45,10,3,570,0.811,0,0
60.97,8,3,2194,0.581,0,0
10.57,14,0,1657,1.307,0,0
57.43,7,4,2115,0.102,0,0
59.42,12,2,1859,1.628,0,0
34.73,10,0,861,0.534,0,0
137.2,22,1,2674,0.822,0,0
65.25,7,2,3443,0.995,0,0
12.0,16,0,3889,0.833,0,0
20.23,10,2,866,0.658,0,0
22.47,6,2,1829,0.688,0,0
56.67,9,3,2386,0.345,0,0
306.08,19,1,588,0.378,0,0
389.3,14,1,795,0.985,0,0
15.89,18,3,2617,0.396,0,0
91.84,16,2,3020,0.471,0,0
274.72,19,0,522,1.581,0,0
87.8,8,0,822,0.661,0,0
112.75,6,3,557,0.921,0,0
156.89,13,4,1793,0.784,0,0
83.31,11,2,1626,0.736,0,0
45.71,8,1,1711,0.348,0,0
