age,aum,risk_tolerance,tenure_yrs,logins_per_mo,products_held,segment,persona
51,228768.41,8.4,12,4,3,0,Emerging Growth Seekers
61,108187.74,2.5,10,10,6,3,Established Loyal Clients
58,115721.91,5.8,8,2,1,1,Conservative Wealth Preservers
64,243963.75,3.3,24,7,7,3,Established Loyal Clients
62,1274230.23,8.5,18,4,2,2,High-Net-Worth Core
40,49912.76,10.0,8,3,3,0,Emerging Growth Seekers
65,69455.36,3.3,5,3,5,1,Conservative Wealth Preservers
57,66542.1,2.9,20,4,4,3,Established Loyal Clients
69,59185.97,7.9,18,4,4,0,Emerging Growth Seekers
22,41297.28,10.0,1,3,7,0,Emerging Growth Seekers
42,128968.92,8.2,13,3,3,0,Emerging Growth Seekers
58,199340.36,7.8,19,7,6,3,Established Loyal Clients
80,284762.15,1.0,13,5,5,1,Conservative Wealth Preservers
41,1064472.56,10.0,19,6,1,2,High-Net-Worth Core
80,187666.12,4.0,6,6,7,1,Conservative Wealth Preservers
74,140716.11,8.5,0,5,2,1,Conservative Wealth Preservers
53,129728.45,4.3,9,6,1,1,Conservative Wealth Preservers
54,503847.55,5.1,22,11,4,3,Established Loyal Clients
41,207115.9,5.3,23,2,7,0,Emerging Growth Seekers
50,304334.82,4.5,1,7,3,1,Conservative Wealth Preservers
47,213140.35,8.8,22,4,2,0,Emerging Growth Seekers
60,111460.13,3.7,18,5,1,3,Established Loyal Clients
49,588233.08,3.6,11,6,7,1,Conservative Wealth Preservers
38,294410.31,10.0,21,5,3,0,Emerging Growth Seekers
54,88816.9,7.1,21,7,5,3,Established Loyal Clients
55,300321.5,5.1,16,7,3,3,Established Loyal Clients
58,68414.23,1.0,12,5,2,1,Conservative Wealth Preservers
73,685254.93,1.6,15,7,5,3,Established Loyal Clients
74,420303.82,7.5,6,3,3,1,Conservative Wealth Preservers
64,58009.04,5.3,19,5,6,3,Established Loyal Clients
49,92319.01,9.6,24,8,7,3,Established Loyal Clients
71,383325.4,8.7,13,2,6,0,Emerging Growth Seekers
54,181268.93,6.1,16,3,3,0,Emerging Growth Seekers
37,54302.69,8.6,11,4,4,0,Emerging Growth Seekers
64,135829.83,1.4,21,5,5,3,Established Loyal Clients
47,1142402.59,1.7,0,6,3,2,High-Net-Worth Core
73,479722.55,7.6,6,5,1,1,Conservative Wealth Preservers
40,194483.77,9.3,17,6,3,0,Emerging Growth Seekers
65,87497.05,8.3,17,8,4,3,Established Loyal Clients
63,208218.31,1.0,21,7,3,3,Established Loyal Clients
48,399307.27,9.6,14,5,5,0,Emerging Growth Seekers
71,167779.74,5.8,18,4,7,3,Established Loyal Clients
49,425577.27,10.0,9,5,4,0,Emerging Growth Seekers
49,785103.41,8.6,22,5,6,0,Emerging Growth Seekers
50,367232.03,3.5,14,5,4,3,Established Loyal Clients
56,68994.8,7.0,2,5,4,1,Conservative Wealth Preservers
57,80900.45,1.0,11,2,5,1,Conservative Wealth Preservers
56,40217.57,1.0,17,5,4,3,Established Loyal Clients
42,219148.92,10.0,20,3,4,0,Emerging Growth Seekers
65,477230.35,1.2,12,2,3,1,Conservative Wealth Preservers
58,841239.44,4.8,17,9,5,3,Established Loyal Clients
74,254994.39,1.0,10,1,2,1,Conservative Wealth Preservers
63,1134263.38,5.4,9,5,1,2,High-Net-Worth Core
36,412926.19,8.7,1,0,1,0,Emerging Growth Seekers
62,321924.76,1.0,24,7,5,3,Established Loyal Clients
56,260858.02,6.0,10,7,3,3,Established Loyal Clients
63,103596.5,3.4,21,7,4,3,Established Loyal Clients
48,131149.86,2.7,5,4,3,1,Conservative Wealth Preservers
58,33104.3,7.8,9,5,7,0,Emerging Growth Seekers
44,230187.57,10.0,19,7,3,0,Emerging Growth Seekers
42,355509.13,2.1,9,3,3,1,Conservative Wealth Preservers
64,1090147.61,1.0,0,9,4,2,High-Net-Worth Core
87,179305.6,3.4,19,4,1,3,Established Loyal Clients
74,104673.35,6.5,24,7,1,3,Established Loyal Clients
34,201034.59,10.0,10,5,5,0,Emerging Growth Seekers
83,892346.38,7.8,16,3,1,2,High-Net-Worth Core
63,158087.11,2.4,11,6,3,1,Conservative Wealth Preservers
56,46993.6,5.0,24,7,5,3,Established Loyal Clients
44,71076.88,2.0,11,7,5,3,Established Loyal Clients
85,1501507.45,1.0,10,2,5,2,High-Net-Worth Core
30,170146.78,8.2,12,3,1,0,Emerging Growth Seekers
56,207053.63,8.0,18,6,3,0,Emerging Growth Seekers
57,131226.18,1.0,3,5,7,1,Conservative Wealth Preservers
74,806328.98,6.5,13,5,7,2,High-Net-Worth Core
48,165893.35,4.7,9,5,7,1,Conservative Wealth Preservers
74,331033.9,2.5,3,2,1,1,Conservative Wealth Preservers
92,147009.49,4.0,22,7,1,3,Established Loyal Clients
80,689750.35,2.0,13,4,3,1,Conservative Wealth Preservers
63,94548.83,4.4,13,9,6,3,Established Loyal Clients
46,29713.8,10.0,3,5,7,0,Emerging Growth Seekers
56,828365.43,3.0,21,6,4,3,Established Loyal Clients
54,65322.4,7.2,24,4,7,0,Emerging Growth Seekers
59,244083.71,9.8,1,2,7,0,Emerging Growth Seekers
63,105020.95,2.4,11,3,5,1,Conservative Wealth Preservers
67,163786.08,1.1,22,6,5,3,Established Loyal Clients
50,363659.44,9.5,17,6,3,0,Emerging Growth Seekers
80,402046.51,5.0,13,4,3,1,Conservative Wealth Preservers
49,279094.18,7.6,7,2,6,0,Emerging Growth Seekers
69,184499.65,7.9,24,6,4,3,Established Loyal Clients
53,258750.23,8.2,18,5,3,0,Emerging Growth Seekers
56,379867.85,7.0,17,6,1,3,Established Loyal Clients
55,60832.02,2.1,8,2,6,1,Conservative Wealth Preservers
49,107736.11,9.6,5,5,2,0,Emerging Growth Seekers
43,1352313.04,9.1,14,4,6,2,High-Net-Worth Core
51,426572.38,3.4,8,8,6,3,Established Loyal Clients
46,608173.32,5.8,11,6,2,0,Emerging Growth Seekers
56,459119.53,1.0,10,5,7,1,Conservative Wealth Preservers
64,585943.64,5.4,14,2,3,1,Conservative Wealth Preservers
53,363111.2,10.0,5,1,6,0,Emerging Growth Seekers
65,223827.56,6.2,17,6,2,3,Established Loyal Clients
55,75863.53,7.1,21,3,1,0,Emerging Growth Seekers
31,189163.5,10.0,8,2,3,0,Emerging Growth Seekers
41,52872.82,6.2,9,6,1,0,Emerging Growth Seekers
61,253563.5,4.6,10,10,6,3,Established Loyal Clients
45,161634.25,8.9,4,4,3,0,Emerging Growth Seekers
57,207572.96,8.9,8,3,7,0,Emerging Growth Seekers
31,39009.68,7.1,9,3,4,0,Emerging Growth Seekers
59,320786.22,2.7,18,7,2,3,Established Loyal Clients
64,736418.06,1.3,17,8,5,3,Established Loyal Clients
49,442586.58,2.6,3,3,5,1,Conservative Wealth Preservers
45,359314.12,4.9,10,5,7,0,Emerging Growth Seekers
65,380534.53,7.3,19,10,7,3,Established Loyal Clients
57,179993.97,2.9,12,8,2,3,Established Loyal Clients
28,189149.01,3.3,9,3,4,0,Emerging Growth Seekers
56,193508.11,5.0,12,5,7,1,Conservative Wealth Preservers
56,74332.34,5.0,21,5,1,3,Established Loyal Clients
53,42208.79,7.2,12,3,7,0,Emerging Growth Seekers
59,206275.78,6.7,20,2,5,0,Emerging Growth Seekers
73,793102.96,7.6,10,1,7,2,High-Net-Worth Core
62,34205.57,8.5,8,3,4,0,Emerging Growth Seekers
77,417341.64,4.3,16,3,4,1,Conservative Wealth Preservers
63,287415.81,9.4,5,4,2,0,Emerging Growth Seekers
61,240550.51,3.6,14,6,5,3,Established Loyal Clients
63,187878.92,2.4,0,3,1,1,Conservative Wealth Preservers
22,33434.1,4.8,15,1,6,0,Emerging Growth Seekers
66,383136.17,2.2,17,6,4,3,Established Loyal Clients
68,303419.91,4.0,11,4,1,1,Conservative Wealth Preservers
52,185451.51,10.0,13,6,6,0,Emerging Growth Seekers
67,74454.83,8.1,23,8,7,3,Established Loyal Clients
62,752344.2,1.0,21,16,2,3,Established Loyal Clients
45,32259.96,6.9,12,3,5,0,Emerging Growth Seekers
32,56270.89,10.0,0,4,1,0,Emerging Growth Seekers
50,303743.97,8.5,20,3,7,0,Emerging Growth Seekers
28,77339.07,9.3,12,6,2,0,Emerging Growth Seekers
58,27095.81,8.9,23,4,6,0,Emerging Growth Seekers
47,1024467.35,6.7,17,2,7,2,High-Net-Worth Core
53,272070.77,8.3,15,6,2,0,Emerging Growth Seekers
50,290232.49,6.5,16,4,1,0,Emerging Growth Seekers
29,164435.35,4.2,20,7,1,3,Established Loyal Clients
72,220879.45,6.7,13,5,1,1,Conservative Wealth Preservers
77,1271234.26,1.3,21,8,5,2,High-Net-Worth Core
47,982209.59,4.7,24,4,1,2,High-Net-Worth Core
45,104756.24,3.0,17,5,4,3,Established Loyal Clients
40,103048.54,4.3,1,5,3,1,Conservative Wealth Preservers
64,979714.61,2.3,21,3,4,2,High-Net-Worth Core
45,87606.59,5.0,3,2,1,0,Emerging Growth Seekers
54,133112.85,8.1,22,8,5,3,Established Loyal Clients
60,76274.3,3.6,6,4,6,1,Conservative Wealth Preservers
71,174378.59,6.8,2,7,7,1,Conservative Wealth Preservers
51,319704.41,8.4,23,8,2,3,Established Loyal Clients
52,257764.55,8.3,13,7,6,0,Emerging Growth Seekers
66,115490.29,1.0,3,1,7,1,Conservative Wealth Preservers
64,1937123.58,7.3,2,6,1,2,High-Net-Worth Core
64,69024.65,1.4,12,7,3,3,Established Loyal Clients
55,113727.73,1.1,17,9,2,3,Established Loyal Clients
44,131117.68,9.0,20,4,5,0,Emerging Growth Seekers
68,422062.75,7.0,2,1,2,1,Conservative Wealth Preservers
69,48188.49,3.9,4,3,4,1,Conservative Wealth Preservers
51,229722.96,6.4,6,4,6,0,Emerging Growth Seekers
66,390373.18,1.2,15,8,1,3,Established Loyal Clients
31,210564.8,10.0,15,8,5,0,Emerging Growth Seekers
79,214408.14,7.1,2,2,6,1,Conservative Wealth Preservers
53,88780.96,8.2,0,0,1,0,Emerging Growth Seekers
51,100865.49,9.4,23,4,5,0,Emerging Growth Seekers
42,92056.78,8.1,14,2,3,0,Emerging Growth Seekers
37,82418.71,10.0,9,3,4,0,Emerging Growth Seekers
85,113681.08,1.6,10,3,7,1,Conservative Wealth Preservers
85,457412.08,1.6,8,8,1,1,Conservative Wealth Preservers
69,158353.47,8.0,24,3,3,0,Emerging Growth Seekers
63,549996.16,9.4,5,2,6,0,Emerging Growth Seekers
68,276272.21,9.0,1,4,6,1,Conservative Wealth Preservers
46,275651.21,3.8,23,9,7,3,Established Loyal Clients
54,645550.18,10.0,8,4,5,0,Emerging Growth Seekers
74,470444.27,1.0,5,3,7,1,Conservative Wealth Preservers
54,78852.43,4.2,9,5,2,1,Conservative Wealth Preservers
47,223829.63,9.7,13,5,7,0,Emerging Growth Seekers
38,100893.72,10.0,24,8,6,0,Emerging Growth Seekers
51,108991.43,2.4,15,11,5,3,Established Loyal Clients
49,137078.53,5.6,0,5,3,1,Conservative Wealth Preservers
68,284237.51,3.0,22,8,7,3,Established Loyal Clients
61,681854.8,5.6,23,4,4,3,Established Loyal Clients
42,256316.05,9.2,19,5,2,0,Emerging Growth Seekers
55,407236.26,7.1,13,5,6,0,Emerging Growth Seekers
48,360576.88,10.0,11,6,4,0,Emerging Growth Seekers
77,226766.01,7.2,10,9,1,3,Established Loyal Clients
51,215861.29,3.5,5,2,1,1,Conservative Wealth Preservers
58,327533.05,6.9,14,4,6,0,Emerging Growth Seekers
50,95756.85,10.0,3,2,6,0,Emerging Growth Seekers
79,624811.35,1.0,10,6,7,1,Conservative Wealth Preservers
66,202630.52,6.2,14,5,4,3,Established Loyal Clients
60,195211.49,6.7,14,7,4,3,Established Loyal Clients
54,231617.23,8.1,24,6,6,3,Established Loyal Clients
48,115599.48,2.6,10,6,5,1,Conservative Wealth Preservers
48,255974.28,2.6,0,6,5,1,Conservative Wealth Preservers
70,504385.98,3.8,0,5,7,1,Conservative Wealth Preservers
76,172486.48,7.3,4,3,2,1,Conservative Wealth Preservers
27,143260.76,10.0,1,3,3,0,Emerging Growth Seekers
72,107456.33,3.7,11,4,5,1,Conservative Wealth Preservers
34,151060.96,6.8,12,6,3,0,Emerging Growth Seekers
65,227683.39,1.0,2,4,1,1,Conservative Wealth Preservers
61,160848.36,1.0,10,7,4,1,Conservative Wealth Preservers
60,124579.96,1.0,6,6,5,1,Conservative Wealth Preservers
41,386595.19,3.2,9,7,2,3,Established Loyal Clients
60,215759.23,2.6,23,7,5,3,Established Loyal Clients
42,95053.5,4.2,11,3,3,0,Emerging Growth Seekers
68,339876.18,7.0,3,2,6,1,Conservative Wealth Preservers
61,146270.69,5.6,14,4,3,1,Conservative Wealth Preservers
51,170850.66,8.4,7,6,7,0,Emerging Growth Seekers
52,982185.55,3.3,0,8,6,2,High-Net-Worth Core
56,51547.98,2.0,24,6,6,3,Established Loyal Clients
47,261226.97,4.7,10,4,3,0,Emerging Growth Seekers
62,136822.73,5.5,16,10,2,3,Established Loyal Clients
57,410302.97,1.9,16,5,4,3,Established Loyal Clients
48,44684.61,6.6,14,6,2,0,Emerging Growth Seekers
45,179217.69,6.9,14,6,6,0,Emerging Growth Seekers
54,704744.74,4.2,8,5,4,1,Conservative Wealth Preservers
41,188385.45,5.2,14,5,1,0,Emerging Growth Seekers
52,147046.6,1.3,3,5,1,1,Conservative Wealth Preservers
51,141662.94,6.4,22,4,3,0,Emerging Growth Seekers
43,148804.97,10.0,2,1,1,0,Emerging Growth Seekers
78,461226.36,1.0,19,12,3,3,Established Loyal Clients
65,442676.85,1.0,11,10,5,3,Established Loyal Clients
53,93396.06,4.2,19,7,6,3,Established Loyal Clients
70,535523.18,2.8,21,7,6,3,Established Loyal Clients
60,89522.34,9.7,24,3,3,0,Emerging Growth Seekers
61,151078.33,9.6,5,2,1,0,Emerging Growth Seekers
44,140205.35,10.0,20,4,7,0,Emerging Growth Seekers
67,439909.53,3.1,15,10,1,3,Established Loyal Clients
37,325237.3,8.6,16,5,2,0,Emerging Growth Seekers
62,632595.72,5.5,17,1,4,0,Emerging Growth Seekers
38,293787.35,10.0,17,6,6,0,Emerging Growth Seekers
69,377884.22,8.9,23,5,3,3,Established Loyal Clients
68,37098.66,1.0,17,4,3,3,Established Loyal Clients
68,135619.69,1.0,13,4,4,1,Conservative Wealth Preservers
53,167554.4,2.3,14,3,6,1,Conservative Wealth Preservers
34,39340.84,6.8,22,3,2,0,Emerging Growth Seekers
39,132416.18,2.4,23,9,1,3,Established Loyal Clients
61,403603.97,1.6,16,6,2,3,Established Loyal Clients
81,572131.88,1.0,19,5,7,3,Established Loyal Clients
45,203161.5,5.9,19,7,7,3,Established Loyal Clients
60,179353.26,4.7,21,5,7,3,Established Loyal Clients
27,193046.94,10.0,4,1,4,0,Emerging Growth Seekers
48,119426.43,10.0,7,2,1,0,Emerging Growth Seekers
75,835770.21,4.4,11,5,6,2,High-Net-Worth Core
57,129316.82,7.9,7,5,1,0,Emerging Growth Seekers
57,52518.23,1.0,0,8,3,1,Conservative Wealth Preservers
62,939764.69,1.0,13,8,2,2,High-Net-Worth Core
65,276959.6,1.3,1,5,1,1,Conservative Wealth Preservers
68,205697.75,2.0,21,6,2,3,Established Loyal Clients
62,392096.07,8.5,15,4,2,0,Emerging Growth Seekers
76,653524.18,4.3,5,6,7,1,Conservative Wealth Preservers
52,411519.78,5.3,12,6,4,3,Established Loyal Clients
52,676477.99,7.3,3,2,1,0,Emerging Growth Seekers
58,68427.95,3.8,15,3,3,1,Conservative Wealth Preservers
82,304131.79,1.8,15,9,1,3,Established Loyal Clients
50,256942.7,3.5,13,10,2,3,Established Loyal Clients
56,463441.55,5.0,20,11,1,3,Established Loyal Clients
43,137252.43,10.0,4,3,6,0,Emerging Growth Seekers
56,239974.75,3.0,13,2,5,1,Conservative Wealth Preservers
61,289491.28,1.0,22,7,4,3,Established Loyal Clients
42,33542.11,7.1,10,4,3,0,Emerging Growth Seekers
79,129151.92,2.1,13,3,6,1,Conservative Wealth Preservers
75,837068.75,6.4,24,4,1,2,High-Net-Worth Core
50,55710.33,1.5,23,8,5,3,Established Loyal Clients
61,186896.91,5.6,16,10,3,3,Established Loyal Clients
44,74694.18,9.0,22,11,7,3,Established Loyal Clients
65,1218069.75,6.3,17,6,4,2,High-Net-Worth Core
69,644640.76,8.9,9,4,7,0,Emerging Growth Seekers
76,27439.52,6.3,20,10,6,3,Established Loyal Clients
70,148248.38,6.8,5,3,1,1,Conservative Wealth Preservers
66,71449.95,1.0,18,6,3,3,Established Loyal Clients
49,245616.77,6.6,21,4,3,0,Emerging Growth Seekers
72,287231.58,1.7,9,7,1,1,Conservative Wealth Preservers
43,273978.51,8.1,23,4,5,0,Emerging Growth Seekers
50,365081.85,4.5,11,7,5,3,Established Loyal Clients
76,502215.44,1.0,0,6,7,1,Conservative Wealth Preservers
67,113014.68,5.1,15,5,2,3,Established Loyal Clients
56,295715.87,3.0,23,6,1,3,Established Loyal Clients
75,947212.16,7.4,11,8,7,2,High-Net-Worth Core
63,472224.92,8.4,0,2,4,1,Conservative Wealth Preservers
75,1022854.5,3.4,14,6,6,2,High-Net-Worth Core
42,129484.86,9.1,15,6,4,0,Emerging Growth Seekers
59,107803.39,3.7,20,8,7,3,Established Loyal Clients
39,163865.19,3.4,14,8,7,3,Established Loyal Clients
59,241341.25,3.8,23,8,7,3,Established Loyal Clients
63,169480.58,7.4,18,1,7,0,Emerging Growth Seekers
65,188839.96,5.3,6,1,5,1,Conservative Wealth Preservers
76,222073.13,6.3,14,3,7,1,Conservative Wealth Preservers
22,175524.29,7.8,19,5,4,0,Emerging Growth Seekers
62,341002.25,2.5,23,3,2,3,Established Loyal Clients
32,75386.99,4.0,0,7,5,1,Conservative Wealth Preservers
68,2160355.52,1.0,1,8,5,2,High-Net-Worth Core
51,250632.83,1.4,1,8,6,1,Conservative Wealth Preservers
51,173482.07,4.4,23,5,4,3,Established Loyal Clients
41,69728.86,7.3,5,2,4,0,Emerging Growth Seekers
59,518118.14,7.7,24,4,3,3,Established Loyal Clients
45,328586.47,8.9,14,2,7,0,Emerging Growth Seekers
63,211944.64,1.0,7,7,5,1,Conservative Wealth Preservers
64,326269.71,3.3,12,7,5,3,Established Loyal Clients
72,210145.52,1.0,24,7,6,3,Established Loyal Clients
22,914881.18,5.8,15,5,2,0,Emerging Growth Seekers
32,95438.63,3.0,19,7,6,3,Established Loyal Clients
46,456528.14,4.8,18,3,4,0,Emerging Growth Seekers
56,222094.4,9.0,13,5,3,0,Emerging Growth Seekers
71,870684.57,1.8,18,7,2,2,High-Net-Worth Core
82,696511.23,1.9,24,10,7,3,Established Loyal Clients
37,725618.22,5.6,5,3,7,0,Emerging Growth Seekers
47,258764.95,6.8,17,5,4,0,Emerging Growth Seekers
56,130753.99,3.0,15,7,4,3,Established Loyal Clients
51,304030.51,2.4,1,4,5,1,Conservative Wealth Preservers
61,378180.21,1.0,2,7,3,1,Conservative Wealth Preservers
38,406960.28,2.5,12,3,1,0,Emerging Growth Seekers
49,237483.59,3.6,13,4,2,1,Conservative Wealth Preservers
70,86879.86,6.8,14,6,3,3,Established Loyal Clients
67,156906.03,5.1,0,5,5,1,Conservative Wealth Preservers
80,348177.29,1.0,14,3,5,1,Conservative Wealth Preservers
29,191820.71,4.3,15,5,6,0,Emerging Growth Seekers
45,322962.8,3.0,20,5,7,3,Established Loyal Clients
42,103328.58,5.2,16,3,1,0,Emerging Growth Seekers
36,257629.76,8.7,13,3,6,0,Emerging Growth Seekers
55,266062.18,8.1,9,6,6,0,Emerging Growth Seekers
70,250597.31,4.8,18,4,1,3,Established Loyal Clients
41,240599.06,10.0,1,3,2,0,Emerging Growth Seekers
44,320058.84,2.0,24,5,1,3,Established Loyal Clients
55,214739.15,4.1,5,7,4,1,Conservative Wealth Preservers
81,525875.44,6.9,18,4,6,3,Established Loyal Clients
56,503692.88,6.0,2,3,2,1,Conservative Wealth Preservers
77,454190.03,2.3,20,5,6,3,Established Loyal Clients
71,270787.53,3.8,7,7,1,1,Conservative Wealth Preservers
51,655506.09,10.0,16,7,5,0,Emerging Growth Seekers
73,55430.16,8.6,13,2,2,0,Emerging Growth Seekers
63,160018.31,6.5,1,5,5,1,Conservative Wealth Preservers
51,126157.9,7.4,22,6,3,3,Established Loyal Clients
37,312586.65,9.6,20,3,7,0,Emerging Growth Seekers
68,104681.49,9.0,3,2,1,0,Emerging Growth Seekers
68,115383.89,1.0,7,4,6,1,Conservative Wealth Preservers
50,243888.16,5.5,10,3,2,0,Emerging Growth Seekers
33,133680.83,5.9,15,5,3,0,Emerging Growth Seekers
40,116752.48,10.0,12,5,7,0,Emerging Growth Seekers
56,43741.11,2.0,16,2,7,1,Conservative Wealth Preservers
46,331310.47,6.8,6,8,5,0,Emerging Growth Seekers
47,183806.86,10.0,19,6,4,0,Emerging Growth Seekers
57,270598.66,10.0,6,4,7,0,Emerging Growth Seekers
41,231071.64,4.3,2,8,3,1,Conservative Wealth Preservers
50,131690.66,4.5,14,6,7,3,Established Loyal Clients
40,51298.21,3.3,0,6,1,1,Conservative Wealth Preservers
53,1086125.09,4.2,6,6,6,2,High-Net-Worth Core
68,185574.15,1.0,13,15,3,3,Established Loyal Clients
30,357768.37,5.1,2,5,6,0,Emerging Growth Seekers
58,154037.62,5.8,9,4,5,1,Conservative Wealth Preservers
53,142806.11,9.3,1,5,1,0,Emerging Growth Seekers
58,847204.41,5.8,15,7,1,2,High-Net-Worth Core
58,256867.3,4.8,3,2,5,1,Conservative Wealth Preservers
37,678089.39,4.6,9,7,5,0,Emerging Growth Seekers
41,191288.91,10.0,19,10,4,3,Established Loyal Clients
63,152418.82,8.4,20,8,1,3,Established Loyal Clients
81,275729.85,1.9,18,6,7,3,Established Loyal Clients
60,159958.23,8.7,17,3,3,0,Emerging Growth Seekers
34,123374.5,8.8,1,6,4,0,Emerging Growth Seekers
80,149795.83,1.0,3,6,4,1,Conservative Wealth Preservers
72,55168.45,5.7,4,6,4,1,Conservative Wealth Preservers
61,265574.93,2.6,13,4,1,1,Conservative Wealth Preservers
66,269705.3,1.2,4,7,7,1,Conservative Wealth Preservers
